,Inv,Note
973,"Foto sup 1632, verso del supporto secondario: nota anonima manoscritta","Venice. Doorway of house called that of Othello on account of the camel over its apex. About 1350""."
974,"Foto sup 1633, verso del supporto secondario: nota anonima manoscritta","Venice. Entrance to yard of Palazzo Pesaro. Foscari""."
975,"Foto sup 1634, verso del supporto secondario: nota anonima manoscritta","Frari. Venice. Door - about 1400"".
"
976,"Foto sup 1677, verso del supporto secondario: nota anonima manoscritta","S. Maria dei Frari. Venice. Basrelief over side door, suppost to be a work of the Masegne, before 1400""."
977,"Foto sup 1635, verso del supporto secondario: nota anonima manoscritta"," Venice. Over doorway near S. Cassiano. End of 14.th century""."
978,"Foto sup 1636, verso del supporto secondario: nota anonima manoscritta","Venice. Santa Maria de' Miracoli"". "
979,"Foto sup 1637, verso del supporto secondario: nota anonima manoscritta","S. Maria dei Miracoli. Venice. Built 1481-1489 by Pietro Lombardo. Pilaster by side of entrance door""."
980,"Foto sup 2032, verso del supporto secondario: nota anonima manoscritta","A good example of a Minos mannerism. / Not beautiful. About 1465""."
981,"Foto sup 2033, verso del supporto secondario","S. Gimignano. / S. Agostino. / Altar and sepolcral monument of S. Bartolo by Benedetto da Maiano. 1494. / Ossa / Divi Barthom. Gemin. / malorum geniorum / fugatoris. / See Perkins""."
982,"Foto sup 1641, verso del supporto secondario: nota anonima manoscritta","Venice""."
983,"Foto sup 2034, verso del supporto secondario: nota anonima manoscritta","San Gimignano. / Palazzo and Towers of the Podesta begun in 1250: in one of the towers is a mark / showing the hight above whitch no private tower might be raised. / Dante was sent as an ambassador to the republic in 1299. / The tower to the left is that of the Salvorelli. / The clock tower del Orinolo was anciently called la Rognosa (scabby)...""."
984,"Foto sup 2035, verso del supporto secondario: nota anonima manoscritta","San Gimignano. / The twin towers of the Salvucci (Guelphs)""."
985,"Foto sup 1643, verso del supporto secondario: nota anonima manoscritta","Venice. Balcony of house in street near S. Giorgio degli Schiavoni. Beginning of 17.th century""."
986,"Foto sup 2036, verso del supporto secondario: nota anonima manoscritta","Towers in San Gimignano, showing truncated ones now used as houses. / The large tower on the left is that of the Binatti""."
987,"Foto sup 2038, verso del supporto secondario: nota anonima manoscritta","Campanile called delle cento buche, built in 1350. It looks much older. / The Fraternità dei laici, now the Library and Museum, is a very early mixed / renaissance and gothic building erected in 1383 by Niccolò di Arezzo""."
988,"Foto sup 1644, verso del supporto secondario: nota anonima manoscritta","Doges palace. Window and balcony about 1525. Arms of Gritti (1523-28). Upper portion later""."
989,"Foto sup 1646, verso del supporto secondario: nota anonima manoscritta","Venice. Arsenale. One of the marble lions brought by Morosini from the Piraeus in 1687. Doubtless it decorated an Attic funeral monument""."
990,"Foto sup 2039, verso del supporto secondario: nota anonima manoscritta","This pulpit is said to have been executed in 1473. / Tho' unegual in parts, it is very elegant""."
991,"Foto sup 1646, verso del supporto secondario: nota anonima manoscritta","S. Zaccaria. Venice. Portal 1477-1490. The statue of the Saint over the door is about the last work of Alessandro Vittoria +1608. He lies buried within the Church. In basso a sin. Porta S. Zaccaria""."
992,"Foto sup 2041, verso del supporto secondario: nota anonima manoscritta","Campanile of Duomo of Prato built by Niccolò di Cecco in 1340""."
993,"Foto sup 1648, verso del supporto secondario: nota anonima manoscritta"," 'Casa Dario. Venice. ""Genio urbis Joannes Darius'. About 1450- a little heavy""."
994,"Foto sup 2042, verso del supporto secondario: nota anonima manoscritta","Built before 1284. Merli ghibellini""."
995,"Foto sup 1649, verso del supporto secondario: nota anonima manoscritta","Venice. Madonna dell'Orto. Entrance portal. End of 15th. century. Well restored""."
996,"Foto sup 1649, verso del supporto secondario: nota anonima manoscritta","Scuola di S. Giovanni Evangelista. Inside this noble entrance: ""Sumptibus patrumet diligentiae praesidentum 1481"". This beautiful work is, from the date, most probably by the hand of Pietro Lombardo himself, but he may have been aided by his sons. Some however ascribe the portal to Leopardi. In basso a matita: Chiesa di S. Giovanni Evangelista""."
997,"Foto sup 2046, verso del supporto secondario: nota anonima manoscritta","Palazzo Comunale at Volterra, a truncated tower. / The central palazzo, whose lower story is now occupied by shops, was the tower of the Maltraggi / or Malariazzi. The building to its left, much altered and now the Post Office, was the tower of / the Malagotti. The fine large palazzo to its right, of which only a small portion is shown in the photo, belonged to the Belforti. Beyond this comes the palazzo of the Podestà or Capitano di / Giustizia with a fine tower of the 12th Century still standing. Volterra has many fine towers""."
998,"Foto sup 1655, verso del supporto secondario: nota anonima manoscritta","Venice. Capital of column of Doges palace. Subyeet: the judgment of Solomon and Troyan granting justice to the widow. By Filippo Calendario about 1344. He must have learnt in the school of Andrea Pisano. Ruskin puts its in the following century. Street differs from him. At all events the Trajan and widow are of 1344""."
999,"Foto sup 1657, verso del supporto secondario: nota anonima manoscritta","Venice. Palazzo Cavalli at traghetto S. Benedetto on Canal Grande. On the left is the Palazzo Grimani, now Corte d'Appello"". "
1000,"Foto sup 1658, verso del supporto secondario: nota anonima manoscritta","Venice. Santa Maria de' Miracoli""."
1001,"Foto sup 1659, verso del supporto secondario: nota anonima manoscritta","Venice. Ponte S.S. Apostoli. Palace of the Falieri about 1230. Here dwelt the traitor Doge Marino""."
1002,"Foto sup 1660, verso del supporto secondario: nota anonima manoscritta","Venice. Door of Palazzo on Rio della Fava. Rich renaissance after 1500. In basso a sin. a matita: Rio Della Fava""."
1003,"Foto sup 1661, verso del supporto secondario: nota anonima manoscritta","Arsenale. Venice. The Door itself of 1460, the enclosure with the 8 statues of 1682. The S. Giustina and the 2 rases over the tympanum of 1571 are a record of Lepanto. The lion sejeant with Harold Hardradas runes from the Pireus (1687), the lion conchant from the Via Sacra at Athens. Inscription on big lion: ""Franciscus Macorocenus Peloponesiacus ...""."
1004,"Foto sup 1663, verso del supporto secondario: nota anonima manoscritta","S. Zaccaria. Venice. Entrance to court before the church. The relief is of the end of the 14th. century""."
1005,"Foto sup 1667, verso del supporto secondario: nota anonima manoscritta","Arsenale. Venice. La porta dei Forni_ 1596. Arms of Doge Marino Grimani (1595-1606). In basso a dx. a matita: Porta del forno dell'arsenale""."
1006,"Foto sup 1728, verso del supporto secondario: nota anonima manoscritta"," Venice. Exterior of San Marco"".
"
1007,"Foto sup 1736, verso del supporto secondario: nota anonima manoscritta","Campanile of San Marco, Venice. 320 feet high. Begun in 902. It took the republic nearly 300 years to raise it to a height of 180 feet. The loggia and superstructure were added in the 16th. century. Says Ruskin: 'Venice may well call upon us to note with reverence, that of all the towers that are stile seen rising like a branchless ..."". "
1008,"Foto sup 1675, verso del supporto secondario: nota anonima manoscritta","Scuola di San Marco. Venice. Built by Martino Lombardo in 1490. The statues and much of the ornamental work is by B. Bon. The reliefs of the lions and of the history of Ananias (S. Aniano, whom S. Marco healed and baptized) are beautiful works of Tullio Lombardo""."
1009,"Foto sup 1679, verso del supporto secondario: nota anonima manoscritta","Venice. Loggetta. Bronze Apollo of J. Sansovino, about 1540"".
"
1010,"Foto sup 1773, verso del supporto secondario: nota anonima manoscritta","Venice. Loggetta. Bronze Mercury of J. Sansovino, about 1540"".
"
1011,"Foto sup 1774, verso del supporto secondario: nota anonima manoscritta","La Loggetta. Venice. The Minerva, a work of Jacopo Sansovino circa 1540. Statua della Loggetta""."
1012,"Foto sup 2050, verso del supporto secondario: nota anonima manoscritta","This is the most celebrated of the three pulpits of Pistoia. / It was executed in 1298-1301""."
1013,"Foto sup 1680, verso del supporto secondario: nota anonima manoscritta","Scala del Palazzo Minelli. Venezia. Scala del Palazzo Contarini del Bovolo, now Minelli. It is of the 15th. century, probably by one of the Lombardi and in inimitation of the Campanile at Pisa, so that it has been by mistake taken for a work of the 12th. century. It has lately been put into thoro' repair by subscription. Vide the inscription ...""."
1014,"Foto sup 2053, verso del supporto secondario: nota anonima manoscritta","Pistoia. / Architrave of door of S. Andrea - 1116. / + Veniunt ecce Magi sidus regale secuti. +Falleris Herodes quod Christum perdere voles. /  +Melchior Caspar Baltasar. +Majos stella monet puero tria munera donent. / Fecit hoc opus Gruamons Magister bonus et Deodatus ejus frater. / Below at the Annunciation: Magister Enricus me fecit""."
1015,"Foto sup 1682, verso del supporto secondario: nota anonima manoscritta","Venice. Stemma ducale sopra la porta della riva del palazzo ducale. The arms of Barberigo. D'Argent a la bande d'azur, chargé de trois lion ceaux d'or et accompagné de six barbes desable posees en orle. Marco Barberigo was doge from 1485 to 1486 and Agostino Barberigo from 1486 to 1501"". "
1016,"Foto sup 2055, verso del supporto secondario: nota anonima manoscritta","Campanile of the Duomo of Pistoia. / The lower portion is dated 1200, the upper is of the 14.th cent.y""."
1017,"Foto sup 1683, verso del supporto secondario: nota anonima manoscritta","Capitello del Palazzo Ducale. Venezia. By Filippo Calandrini about 1350, tho' Mr. Ruskin puts it later. The subyect is marriage, its joys and woes. The first compartment represents courtship, the last, the death of the child"".
"
1018,"Foto sup 1770, verso del supporto secondario: nota anonima manoscritta","Doges Palace, Venice. Capital of one of the capitals of the columns of the lower stons facing the sea. The subject is the principal virtues. ""Largitas me honorat"" says Generosity giving ont her gold pieces""."
1019,"Foto sup 2056, verso del supporto secondario: nota anonima manoscritta","Montepulciano. / Fortitude, a figure of Aragazzi monument""."
1020,"Foto sup 1686, verso del supporto secondario: nota anonima manoscritta","Venice. Daedalus fitting wings on the Icarus. a good work of Canova"". "
1021,"Foto sup 1688, verso del supporto secondario: nota anonima manoscritta","In San Sebastiano. Venice"". "
1022,"Foto sup 2057, verso del supporto secondario: nota anonima manoscritta","Montepulciano. / Relief forming part of the Aragazzi monument. / Mr Perkins thinks it in Donatello's very best style""."
1023,"Foto sup 2058, verso del supporto secondario: nota anonima manoscritta","Montepulciano. / Figure forming part of the Aragazzi monument""."
1024,"Foto sup 1689, verso del supporto secondario: nota anonima manoscritta","Murano. Palazzo Mula""."
1025,"Foto sup 1690, verso del supporto secondario: nota anonima manoscritta","Chiesa di S. Donato. Murano"". "
1026,"Foto sup 2059, verso del supporto secondario: nota anonima manoscritta","Montepulciano. / Basrelief of Aragazzi monument. / Mr Perkins says that it is in Donatello's bery best style""."
1027,"Foto sup 2063, verso del supporto secondario: nota anonima manoscritta","Duomo. Siena. / The Campanile is romanesque and of the beginning of the 13.th century, /  but it was coated with marble and ornamented by Agostino and Agnolo da Siena in the 14th. / Over the side door of the Duomo is the Gothic inscription: / Annus centenus Rome semper est yubilenus Crimina laxantur, cui penitet ista donantur, Hec declaravit Bonifatius et...""."
1028,"Foto sup 2043, verso del supporto secondario: nota anonima manoscritta","Siena. La torre del Mangia from the Foro Boario""."
1029,"Foto sup 2064, verso del supporto secondario: nota anonima manoscritta","Siena. / The palazzo pubblico of the 13th. and 14.th centuries with the tower / called la Mangia, so named from Mangia the artificer who / made the wooden man that struck the hours in the belfry. / ""Il Mangia e quel cotal che suona l'ore / E dal campanaticense Mangia bis denas [?]clara voce temperat horas"""".
"
1030,"Foto sup 2065, verso del supporto secondario: nota anonima manoscritta","Siena. / The house of Santa Caterina Benincasa. The facade with the bust of Saint and the / double loggia is by Giacomo / Cozzarelli (1453-1515). / The facade of the Church, 1475, is by Francesco di Duccio del Guasta. / It looks just like a work of Baccio Pontelli""."
1031,"Foto sup 1691, verso del supporto secondario: nota anonima manoscritta","Chiesa di S. Tosca e il Duomo. Torcello. The campanile is simple and rude and dates probably from the 11.th century. The Duomo was fully restored or rebuilt in 1008 and of this period is probably the belfry. S. Fosca is much older"". "
1032,"Foto sup 2068, verso del supporto secondario: nota anonima manoscritta","Siena. / Palazzo Tolomei commenced in 1205, the oldest gothic / palace in Siena. / Observe the shape of the Tolomei shields""."
1033,"Foto sup 1692, verso del supporto secondario: nota anonima manoscritta","Mastino II, who died in 1351"". 
"
1034,"Foto sup 1693, verso del supporto secondario: nota anonima manoscritta","Le tombe di Scaligeri. Verona. The large monument in the foreground is that of Mastino II, who died in 1351. He caused it to be erected in his lifetime. It is foursided and the iron work about it, of a pattern adorned with little ladders, is most remarkable. The little church with the campanile of the 13th. century is S. Maria Antica. Says Street of the cemetery of the Scaligers ..."". "
1035,"Foto sup 1694, verso del supporto secondario: nota anonima manoscritta","Verona. The tower of the Palazzo della Ragione begun in 1172 at the cost of the Lambertini. It is 306 feet high and is much admired by Street. The upper portion is octogonal and of later date""."
1036,"Foto sup 1695, verso del supporto secondario: nota anonima manoscritta","Tomba di Cansignorio. Verona. Monument of Cansignorio who died in 1375. It is the most elaborate of the della Scala memorials and hexagonal in form. It was made by Bonino da Campione, the master who costructed the monument of Bernabò Visconti in 1370. This is now in the Brera at Milan. The adjacent sarcophagi are the tombs of various members ...""."
1037,"Foto sup 2071, verso del supporto secondario: nota anonima manoscritta","Duomo. Siena. / Piccolomini Altar near the library, the work of / Andrea Fusina, milanese. / At this altar worked Pietro Torrigiani and perhaps / also Michel Angelo. Platina, the historian of the Popes, wrote in May 1481 to / Lorenzo il Magnifico recommending Andrea Fusina, milanese, / who was than making this altar piece, calling him ""Andreas / marmorarius, sculptor egregius, vicinus meus""."
1038,"Foto sup 1702, verso del supporto secondario: nota anonima manoscritta"," Cattedrale. Verona. Southern porth""."
1039,"Foto sup 1703, verso del supporto secondario: nota anonima manoscritta","S. Maria Antica - Verona. Monument of Giovanni della Scala, brought from the outside of S. Firmo. He bears in su la Scala il santo ucello. +1350"". "
1040,"Foto sup 1705, verso del supporto secondario: nota anonima manoscritta","Verona. Porta Borsari with an inscription of Gallianus time, 256"". "
1041,"Foto sup 1706, verso del supporto secondario: nota anonima manoscritta","Verona. Entrance to Vescovado, built for Cardinal Michieli - 1500. The Cardinal was poisoned by the Borgias""."
1042,"Foto sup 1710, verso del supporto secondario: nota anonima manoscritta","Verona. Tribunali""."
1043,"Foto sup 2073, verso del supporto secondario: nota anonima manoscritta","Siena. / Floor of Duomo. / Monument in mosaics of a bishop, the work of / Neroccio Landi. 15.th century""."
1044,"Foto sup 2075, verso del supporto secondario: nota anonima manoscritta","Siena. / Floor of Duomo. / Lavorato a graffito da Duccio. / The doctor and canonicus died in 1468""."
1045,"Foto sup 2074, verso del supporto secondario: nota anonima manoscritta","Siena. Floor of Duomo. / Donatello's bronze bishop Pecci +1426. / They want to make ont that this Pecci was a collateral / ancestor of Pope Leo""."
1046,"Foto sup 1709, verso del supporto secondario: nota anonima manoscritta","S. Pietro Martire. Verona. Monument of Count Guglielmo da Castelbarco, the friend and councillor of the della Scalas. He died in 1320 and must therefore have known Dante. He helped to built the adjacent S. Anastasia. Both Ruskin and Street praise this tomb higly. Says the former, calling it the nameless tomb standing over the small cemetery ...""."
1047,"Foto sup 1711, verso del supporto secondario: nota anonima manoscritta","S. Maria Antica - Verona. Monument of Cangrande, Dante's friend, who died in 1329. Si canis hic grandis ingencia facta peregit Marchia testis ad est quam sero Marte subegit Sclavigerum qui laude domum perastra tulisset Majores in luce moras si Parcha dedisset Hinc juli geminata dies ..."". "
1048,"Foto sup 1712, verso del supporto secondario: nota anonima manoscritta","Verona. Palazzo del Consiglio, la Loggia built at the beginning of the 16th. century by Fra Giocondo of Verona who built le pont de Notre Dame at Paris and il ponte della Pietra across the Adige at Verona. Modern statue of Dante by Zannoni (1865), a good work""."
1049,"Foto sup 1714, verso del supporto secondario: nota anonima manoscritta","Vicenza. Tower in the Piazza dei Signori adjacent to Palladios Basilica""."
1050,"Foto sup 1716, verso del supporto secondario: nota anonima manoscritta","To show how sepulchral monuments, avelli, were placed outside churches in the middle ages""."
1051,"Foto sup 1720, verso del supporto secondario: nota anonima manoscritta","Padua. Exterior of Palazzo della Ragione"". "
1052,"Foto sup 1723, verso del supporto secondario: nota anonima manoscritta","Verona. S. Zenone. This fine tower - built from 1045 to 1178 - is a recunant of the Benedectine cloister occupied by the German emperors in their Italian campaigns""."
1053,"Foto sup 1724, verso del supporto secondario: nota anonima manoscritta","Murano. Palazzo Mula""."
1054,"Foto sup 1725, verso del supporto secondario: nota anonima manoscritta","Venice. Doge's Palace"".
"
1055,"Foto sup 1782, verso del supporto secondario: nota anonima manoscritta","Venice. Doge's Palace"".
"
1056,"Foto sup 1726, verso del supporto secondario: nota anonima manoscritta","Venice. The Doges palace from under the bridge of sighs. The coat, or, two bauds gules; on a chief azure, three stars or is that of Doge Francesco Donato (1545-1553)""."
1057,"Foto sup 1727, verso del supporto secondario: nota anonima manoscritta","Venice. San Marco. Edicola del Crocifisso. This crucifix was brought from Costantinople on its conquest by Enrico Dandolo in 1204. The tabernacle is somewhat later""."
1058,"Foto sup 1729, verso del supporto secondario: nota anonima manoscritta","Venice. Palazzo ducale. Details of Giants stairs""."
1059,"Foto sup 1731, verso del supporto secondario: nota anonima manoscritta","Frari. Venice. Petrus Bernardus Hieronymi filius sibi vivens fecit Hieronymus et Laurentius filii pientiss. Posuere MDLVIII. A lovely monument that P. Bernardo caused to be begun in 1525. Alessandro Vittoria is said to have had a hand in it, but he was born in that year. Observe the basreliefs of Adam and Eve and in particular the ..."". "
1060,"Foto sup 1732, verso del supporto secondario: nota anonima manoscritta","Frari at Venice. Monument of Jacopo Marcello, the Venetian Admiral who fell in the sea fight off Gallipoli in 1484. ""Ludovicus et Petrus filii pientiss. posuere 1484"". It is of the school of the Lombardi. The oval form is common in monuments of this school - see those at Treviso"". "
1061,"Foto sup 1733, verso del supporto secondario: nota anonima manoscritta","Exterior of S. Zanipolo. Sarcophagus of the two Tiepoli doges, Jacopo e Lorenzo. Dominus Jacobus hobiit MCCLI. Dominus Laurentius hobiit MCCLXXVIII. The elder was a great warrior and reduced Zara in 1243. The inscription calls the town ""ingrata Jadra"". It was always rebelling. Quos natura pares studiis, virtutibus, arte, Edidit ..."". "
1062,"Foto sup 1735, verso del supporto secondario: nota anonima manoscritta","S. George of the Slavonicus, Venice. The basreliefs are of different epochs, and older than the church""."
1063,"Foto sup 2078, verso del supporto secondario: nota anonima manoscritta","Siena. / Ring for holding a banner or torch at the Palazzo del Magnifico / by Giacomo Cozzarelli, who designed the palace, which was / completed in 1508 for Pandolfo Petrucci, the / Magnifico, the great ruler of Siena who knew how to maintain himself / against even Cesar Borgia""."
1064,"Foto sup 2079, verso del supporto secondario: nota anonima manoscritta","Tabernacle of S. Caterina containing her head, made in 1466 by Giov. di Stefano / for Niccolo Benzi-see inscription. The frescoes right and left are by Sodoma (G.A. Bazzi)""."
1065,"Foto sup 1744, verso del supporto secondario: nota anonima manoscritta","Venice. Exterior of San Marco""."
1066,"Foto sup 1745, verso del supporto secondario: nota anonima manoscritta","Venice. Atrium of San Marco. Early Christian sarcophagus containing the remains of doge Marino Morosini who died in 1253. It is of a late period and very rude""."
1067,"Foto sup 1747, verso del supporto secondario: nota anonima manoscritta","Lovato, a celebrated jurisconsult and poet of Padua, who died in 1319, made the people there believe that he had found Antenors bones. They were those of an Ungar of the 9th. century. They were put into a big stone sarcophagus, like that of Petrarch at Arqua, and an epitaph composed that reads thus: C. Inclytus Antenor patriam vox nisu quietam ..."". "
1068,"Foto sup 1748, verso del supporto secondario: nota anonima manoscritta","Monarcha sapientie Antonius de Roycellis MCCCCLXVI Die XVI Decemb. I have his medal""."
1069,"Foto sup 1749, verso del supporto secondario: nota anonima manoscritta","Fulgosus Raphael virtutum jaspis utroque Jure stuper tantus que fama quantus et orbis Scriptis morte vacat tam parvo clauditur antro. Obiit Anno Domini MCCCCXXVII. Donatello did not come to Padua till 1444"".
"
1070,"Foto sup 1827, recto: nota anonima manoscritta","Piero di Nicolò""."
1071,"Foto sup 1750, verso del supporto secondario: nota anonima manoscritta","This terribly naturalistic relief is of terracotta. Donatello came to Padua in 1444 and departed in 1456"". "
1072,"Foto sup 1752, verso del supporto secondario: nota anonima manoscritta","Erasmo da Narni died in 1443"". "
1073,"Foto sup 1753, verso del supporto secondario: nota anonima manoscritta","This monument was made by Alessandro Vittoria in 1555. The slaves are by Pietro da Salò and Agostino Zeno. The bust above by Danese Cataneo""."
1074,"Foto sup 1754, verso del supporto secondario: nota anonima manoscritta","Giovanni died in 1460. It is monument seems to be by the same artist who made that of his father""."
1075,"Foto sup 1755, verso del supporto secondario: nota anonima manoscritta","+1370""."
1076,"Foto sup 2080, verso del supporto secondario: nota anonima manoscritta","Siena. / The new Fonte Gaia by Tito Sarrocchi. It is as yet incomplete wanting / the statues of the virtues that stood on the parapet of the original. / It is not a very great success."""
1077,"Foto sup 2082, verso del supporto secondario: nota anonima manoscritta","Palazzo Pubblico. Siena. / La Lupa in bronzo dorato, lavorata dai Turini nel 1429"".
"
1078,"Foto sup 1756, verso del supporto secondario: nota anonima manoscritta","A.D. 1350. Jacopo da Carrara regned from 1345 to 1350. He began by murdering his predecessor, but otherwise was a nield and just prince. He completed S. Antonio and made Petrarch a canon. He was murdered by his Corsini Guglielmo""."
1079,"Foto sup 2085, verso del supporto secondario: nota anonima a matita","Baptistery. Pisa. / Relief from Nicolas Pulpit. The first renaissance begins. The Madonnas head / that of a Juno""."
1080,"Foto sup 2086, verso del supporto secondario: nota anonima manoscritta","Baptistery. Pisa. / Basrelief from Nicolas pulpit. / Mary is copied from Theseus proud wife on the sarcophagus of Beatrix""."
1081,"Foto sup 2087, verso del supporto secondario: nota anonima manoscritta","Pisa. / Niccolo Pisanos celebrated pulpit in the Baptistery. 1260. / Anno milleno biscentum bisque triceno / Hoc opus insigne sculpit Nicola Pisanus / Landetur digne tam bene docta manus. / He was born in 1205 and died in 1278. / He made the Pulpit in the Duomo of Siena in 1268""."
1082,"Foto sup 1762, verso del supporto secondario: nota anonima manoscritta","Frigida Francisci lapis hic tegit ossa Petrarce Suscipe Virgo Parens animam sate Virgine parce Fessaq; jam terris celi requiescat in arce. MCCCLXXIIII XVIIII Julii. and below: Vira insigni F.P. Laureato Franciscolus Debros etc. etc. (P.s. son in Law). The bust is in bronze put up in 1547. At Arqua they say that Petrarch loved his stuffed ..."". "
1083,"Foto sup 2090, verso del supporto secondario: nota anonima manoscritta","Pisa. / Façade of the Duomo. 1067-1118; in which latter year the / Cathedral was consecrated. Buskettus and Raynaldus / were the architects""."
1084,"Foto sup 2091, verso del supporto secondario: nota anonima manoscritta","Pisa. / Side door of the Duomo. / A bronze work of the last half of the 12.th century by Bonannus""."
1085,"Foto sup 1767, verso del supporto secondario: nota anonima manoscritta","Venice. S. Aponal. This door came from S. Helena where it formed part of the monument of Vittore Cappello - Antonio Dentore - 1480"".
"
1086,Foto sup 1768 documenta la tomba nella sua collocazione ottocentesca nel cortile del Seminario Patriarcale di Venezia.,
1087,"Foto sup 1769, verso del supporto secondario: nota anonima manoscritta","Monumento al doge Vendramin a S. Giov. e Paolo. Venezia. Sepulchre of Doge Andrea Vendramin in San Zanipolo. He died in 1478 and was buried in the Servi whence his monument was removed when that church was destroyed. It is probably by Tullio Lombardo, tho' some think that Alessandro Leopardo, who made the equestrian statue of Colleoni, had a ..."". "
1088,"Foto sup 2092, verso del supporto secondario: nota anonima manoscritta","Tower in the city wall at Pisa called la torre Guelfa. It is connected by a wall with another called la Ghibellina""."
1089,"Foto sup 1775, verso del supporto secondario: nota anonima manoscritta","Venice. San Zanipolo. Monument of Doge Niccolò Marcello, who died in 1474. It is of the early renaissance and by the Lombardi"". "
1090,"Foto sup 2093, verso del supporto secondario: nota anonima manoscritta","The Campanile was begun in 1174 by Bonanno of Pisa / and John of Innsbruck. The upper story was added in 1350 / by Tomaso Pisano. It is 179 feet high. / The basrelief over the door says: / ""+An. dmi. MCLXXIIII campanile hoc fuit fundatum mense cinq."" The inscription on the façade of the Duomo says: / ""Quod vix mille boum posent (sic) fuga..."". Segue trascrizione dell'iscrizione."
1091,"Foto sup 2094, verso del supporto secondario: nota anonima manoscritta","Lucca. / The palazzo and tower of the Guinigi, lords / of Lucca at the end of the 14.th and beginning of / the 15.th centuries""."
1092,"Foto sup 1777, verso del supporto secondario: nota anonima manoscritta","Monument of Aventino Fracastoro, doctor of Cangrande. About 1330"". "
1093,"Foto sup 1778, verso del supporto secondario: nota anonima manoscritta","Verona. Tower of the Castelvecchio and medioeval bridge. Erected by Cangrande II in 1355""."
1094,"Foto sup 2095, verso del supporto secondario: nota anonima manoscritta","Lucca. San Giovanni. / Door of the 12.th century. The Madonna between Angels and Apostles / probably by Guidetto""."
1095,"Foto sup 1779, verso del supporto secondario: nota anonima manoscritta","S. Zenone Verona. Campanile probably of the year 1138 when the church was restored. It is very effective. On the basrelief by the side of the porch of the Church the great Theodoric is seen riding to the devil. Says the inscription: 'Moxque paratur equus, quem misit demon iniquus, Exit aquae nudus, petit infera non rediturus'""."
1096,"Foto sup 2096, verso del supporto secondario: nota anonima manoscritta","Lucca. / Campanile of S. Michele. It was about 1430 / by Paolo Guinigi, lord of Lucca. Its base is an oblong. / The church dates from 1188, its façade is the work /of Guidello, who built that of the Duomo""."
1097,"Foto sup 2097, verso del supporto secondario: nota anonima manoscritta","The present front of S. Frediano, Lucca. / The Campanile, which has an oblong base, / and has lately been completely restored, / dates before the 12.th century"".
"
1098,"Foto sup 2098, verso del supporto secondario: nota anonima a matita","S. Frediano, Lucca. / This old church was in the 12.th century completely / turned round, its apse turned into an entrance / and its façade erected where the apse originally stood. / The Campanile, which was built before the change / took place, was on the left side of the original front""."
1099,"Foto sup 1784, verso del supporto secondario: nota anonima manoscritta","Santa Maria gloriosa dei Frari. Venice. Foundation laid in 1250 by Cardinal Ottoviano (Dante Inferno X-120) The Church first opened forenship in 1280. The three statues over the entrance, Christ between Mary and Francis are said to be by one of the Pisani"". 
"
1100,"Foto sup 1783, verso del supporto secondario: nota anonima manoscritta","Venice. Madonna dell'Orto. The church is of the last quarter of the 14.th century. The facade was carried ont by Bartol. Bon between 1440 and 1470. The building was well restored in 1850"". 
"
1101,"Foto sup 1786, verso del supporto secondario: nota anonima manoscritta","Venice. Late gothic relief over the door of the Corte Vecchia of the Abbazia. Mary with her child in an aureole protects her dear monks. It is supposed to be by Bartolomeo Bon and to be of the year 1505. It appears much older"". "
1102,"Foto sup 1787, verso del supporto secondario: nota anonima manoscritta","  Pozzo in una Corte a S. Samuele""."
1103,"Foto sup 1789, verso del supporto secondario: nota anonima manoscritta","Venice. Grand Canal. Fondaco dei Turchi, the oldest profane building in Venice, the water facade with its double arcade of stilted round arches on romanesque capitals whose shafts are of Greek marble dating from about the year 900. The building was once crowned with an Arabic battlement flanked by a tower at each angle - of the 11.th century. This battlement was only removed some 50 years ago [...] Under the Austrians the Fondaco was a tobacco factory as the photo shows [...]"". 
"
1104,"Foto sup 1790, verso del supporto secondario: nota anonima manoscritta","The Columns. Venice. Of oriental granite, put in 1170 by Niccolo Barattieri. S. Teodoro was erected in 1329, the lion of bronze, but blind becouse his eyes remained behind in Paris is of the 15.th century. S. Totos column is of rose. S. Marcos of grey granite. The Biblioteca vecchia, Sansovinos masterpiece is of 1536"".
"
1105,"Foto sup 1790, recto del supporto secondario, nota anonima manoscritta a matita","La Salute 1632""."
1106,"Foto sup 1792, verso del supporto secondario: nota anonima manoscritta","Details of the entrance door of the Scuola di San Marco, now Ospedale Civile, erected in 1490 by Martino Lombardo"". 
"
1107,"Foto sup 1794, verso del supporto secondario: nota anonima manoscritta","This very handsome well cover is said to be of the 15th. century. It seem to me earlier. The arms on it have been effaced but the coat looks as if it might have been that of Contarini, or, three bands azure"". "
1108,"Foto sup 1795, verso del supporto secondario: nota anonima manoscritta","Cattedrale. Verona. Facade of end of 12.th century. Here are to be seen as doorkeepers, Roland with his sword Durnidana and Oliver with his mace, barbearons sculptures of the 12.th century, like the works of the South sea islanders""."
1109,"Foto sup 2192, recto del supporto secondario: nota anonima manoscritta","G. Bellini""."
1110,"Foto sup 1798, verso del supporto secondario: nota anonima manoscritta","Paul de la Roche. The Cenci""."
1111,"Foto sup 1840, verso del supporto secondario: nota anonima manoscritta","Arch. 1""."
